,precision,recall,f1-score,support
Apple___Apple_scab,0.9826086956521739,0.9762419006479481,0.9794149512459371,463.0
Apple___Black_rot,0.9913606911447084,0.9913606911447084,0.9913606911447084,463.0
Apple___Cedar_apple_rust,0.9892933618843683,0.9978401727861771,0.9935483870967742,463.0
Apple___healthy,0.9848812095032398,0.9848812095032398,0.9848812095032398,463.0
Blueberry___healthy,0.9893162393162394,1.0,0.9946294307196563,463.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9913606911447084,0.9956616052060737,463.0
Cherry_(including_sour)___healthy,0.9978308026030369,0.9935205183585313,0.9956709956709957,463.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9631236442516269,0.958963282937365,0.961038961038961,463.0
Corn_(maize)___Common_rust_,0.9956896551724138,0.9978401727861771,0.9967637540453075,463.0
Corn_(maize)___Northern_Leaf_Blight,0.961038961038961,0.958963282937365,0.96,463.0
Corn_(maize)___healthy,0.9914346895074947,1.0,0.9956989247311828,463.0
Grape___Black_rot,0.9912854030501089,0.9827213822894169,0.9869848156182213,463.0
Grape___Esca_(Black_Measles),0.9828693790149893,0.9913606911447084,0.9870967741935484,463.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,463.0
Grape___healthy,0.9956989247311828,1.0,0.9978448275862069,463.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9956803455723542,0.9978354978354979,463.0
Peach___Bacterial_spot,0.9892008639308856,0.9892008639308856,0.9892008639308856,463.0
Peach___healthy,0.9935205183585313,0.9935205183585313,0.9935205183585313,463.0
"Pepper,_bell___Bacterial_spot",0.9825708061002179,0.9740820734341252,0.9783080260303688,463.0
"Pepper,_bell___healthy",0.9807692307692307,0.9913606911447084,0.9860365198711063,463.0
Potato___Early_blight,0.9978308026030369,0.9935205183585313,0.9956709956709957,463.0
Potato___Late_blight,0.9715536105032823,0.958963282937365,0.9652173913043478,463.0
Potato___healthy,0.9869565217391304,0.980561555075594,0.9837486457204767,463.0
Raspberry___healthy,0.9978401727861771,0.9978401727861771,0.9978401727861771,463.0
Soybean___healthy,0.9871794871794872,0.9978401727861771,0.9924812030075187,463.0
Squash___Powdery_mildew,0.9978354978354979,0.9956803455723542,0.9967567567567568,463.0
Strawberry___Leaf_scorch,0.9956896551724138,0.9978401727861771,0.9967637540453075,463.0
Strawberry___healthy,0.9956803455723542,0.9956803455723542,0.9956803455723542,463.0
Tomato___Bacterial_spot,0.9592274678111588,0.9654427645788337,0.9623250807319699,463.0
Tomato___Early_blight,0.8984547461368654,0.8790496760259179,0.888646288209607,463.0
Tomato___Late_blight,0.9219088937093276,0.91792656587473,0.9199134199134199,463.0
Tomato___Leaf_Mold,0.9649890590809628,0.9524838012958964,0.9586956521739131,463.0
Tomato___Septoria_leaf_spot,0.9411764705882353,0.9330453563714903,0.9370932754880694,463.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9352051835853131,0.9352051835853131,0.9352051835853131,463.0
Tomato___Target_Spot,0.8936170212765957,0.9071274298056156,0.9003215434083601,463.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9804772234273319,0.9762419006479481,0.9783549783549783,463.0
Tomato___Tomato_mosaic_virus,0.9704016913319239,0.9913606911447084,0.9807692307692307,463.0
Tomato___healthy,0.9723404255319149,0.9870410367170627,0.9796355841371919,463.0
accuracy,0.9771513015800841,0.9771513015800841,0.9771513015800841,0.9771513015800841
macro avg,0.9771278250500108,0.9771513015800837,0.977121480406926,17594.0
weighted avg,0.9771278250500108,0.9771513015800841,0.9771214804069261,17594.0
